"idx","name_kr","party","when_elected","total","attend","absense","leave"
293,"이미경","더불어민주당","5선( 15대 , 16대 , 17대 , 18대 , 19대 )",135,135,0,0
297,"김태호","새누리당","재선( 18대 , 19대 )",135,117,18,0
298,"김한길","더불어민주당","4선( 15대 , 16대 , 17대 , 19대 )",135,117,18,0
317,"강기정","더불어민주당","3선( 17대 , 18대 , 19대 )",135,135,0,0
318,"강길부","새누리당","3선( 17대 , 18대 , 19대 )",135,135,0,0
320,"강창일","더불어민주당","3선( 17대 , 18대 , 19대 )",135,135,0,0
333,"김동철","무소속","3선( 17대 , 18대 , 19대 )",135,130,5,0
338,"김성곤","더불어민주당","4선( 15대 , 17대 , 18대 , 19대 )",135,135,0,0
342,"서상기","새누리당","3선( 17대 , 18대 , 19대 )",135,135,0,0
343,"김우남","더불어민주당","3선( 17대 , 18대 , 19대 )",135,135,0,0
344,"김재경","새누리당","3선( 17대 , 18대 , 19대 )",135,122,9,4
345,"김재원","새누리당","재선( 17대 , 19대 )",135,71,64,0
348,"김정훈","새누리당","3선( 17대 , 18대 , 19대 )",135,135,0,0
352,"이군현","새누리당","3선( 17대 , 18대 , 19대 )",135,108,27,0
355,"김춘진","더불어민주당","3선( 17대 , 18대 , 19대 )",135,125,0,10
356,"유승민","새누리당","3선( 17대 , 18대 , 19대 )",135,99,36,0
359,"김태년","더불어민주당","재선( 17대 , 19대 )",135,135,0,0
360,"김태환","새누리당","3선( 17대 , 18대 , 19대 )",135,103,32,0
363,"나경원","새누리당","3선( 17대 , 18대 , 19대 )",135,108,9,18
